Товар,Магазин,Код,Вартість,Кількість,Загальні витрати,Дата замовлення,Відправник,Дата прибуття,Пошта доставки,Посилання,Відстеження,Тривалість доставки b,Розрахований час доставки
SD 128 GB,MINI Digital,RO412593015EE,"15,53",1,"16,6",14.10.2019,AliExpress Standard Shipping,30.10.2019,Meest,https://www.aliexpress.com/item/32893751767.html,https://t.17track.net/uk#nums=RO412593015EE,16,20.11.2019
Leggins,Fantasy J,SF6042073200732,"2,83",1,"4,42",18.11.2019,SF eParcel,04.12.2019,НП,https://www.aliexpress.com/item/4000212256285.html,https://t.17track.net/uk#nums=SF6042073200732,16,25.12.2019
Рюкзак,MI Mijia,AENM0000279711NPI,"7,34",1,"7,34",28.11.2019,AliExpress Standard Shipping,18.12.2019,НП,https://www.aliexpress.com/item/32888057197.html,https://t.17track.net/uk#nums=AENM0000279711NPI,20,4.1.2020
Charger,USLION,LO626055232CN,"1,78",1,"1,78",11.12.2019,ePacket,01.02.2020,УП,https://www.aliexpress.com/item/4000045865332.html,https://t.17track.net/uk#nums=LO626055232CN,52,17.1.2020
Кабель USB Type A - Type C,USLION,LO626055232CN,"1,39",1,"1,39",11.12.2019,ePacket,01.02.2020,УП,https://www.aliexpress.com/item/4000293037064.html,https://t.17track.net/uk#nums=LO626055232CN,52,17.1.2020
Bluetooth навушники,YTOM Official,LO645062046CN,"11,88",1,"11,88",15.12.2019,ePacket,01.02.2020,УП,https://www.aliexpress.com/item/4000106994241.html,https://t.17track.net/uk#nums=LO645062046CN,48,21.1.2020
Charger,BASEUS Official Store,AENM0000485852NPI,"8,84",1,"8,84",15.12.2019,AliExpress Standard Shipping,29.12.2019,НП,https://www.aliexpress.com/item/32887259432.html,https://t.17track.net/uk#nums=AENM0000485852NPI,14,21.1.2020
Перехідник,CABLETIME,SA007715510LV,"2,41",1,"2,41",19.12.2019,AliExpress Saver Shipping,11.01.2020,УП,https://www.aliexpress.com/item/4000047385432.html,https://t.17track.net/uk#nums=SA007715510LV,23,25.1.2020
Силіконовий утримувач,TOPK,SA096431614EE,"3,03",1,"3,03",31.12.2019,AliExpress Saver Shipping,29.01.2020,УП,https://www.aliexpress.com/item/33062158793.html,https://t.17track.net/uk#nums=SA096431614EE,29,6.2.2020
SD 128 GB,Samsung Global Online,RO425384903EE,"19,49",1,"19,49",14.02.2020,AliExpress Standard Shipping,26.02.2020,Meest,https://www.aliexpress.com/item/32818989027.html,https://t.17track.net/uk#nums=RO425384903EE,12,22.03.2020
Кухонні гачки,Grocery shop L&Z,SF6042126392354,"3,3",1,"5,12",04.03.2020,SF eParcel,17.03.2020,НП,https://www.aliexpress.com/item/33059887315.html,https://t.17track.net/uk#nums=SF6042126392354,13,10.04.2020
