Рік,Номер,Автор,Назва,Напрям,Жанр,Стан,Рівень,Вид,Дата початку,Дата закінчення,Цикл,Нотатки,,
2021,1,Беньє,Роздуми про мудрість,Non-fiction,Філософія,Куплено/В бібліотеці,Прочитано,Електронна,,01.01.2021,,Виправити,,
2021,2,Талеб,Чорний лебідь,Non-fiction,Когнітивістика,Куплено/В бібліотеці,Прочитано,Фізична,02.01.2021,15.01.2021,,,,
2021,3,Санченко,Земля Георгія,Художня,Пригоди,Куплено/На хмарі,Прочитано,Електронна,02.01.2021,21.01.2021,,,,
2021,4,Аврелій,Медитації,Non-fiction,Філософія,Куплено/В бібліотеці,Прочитано,Фізична,01.01.2021,02.02.2021,,,,
2021,5,Provost,"Data Science для бізнесу. Як збирати, аналізувати і використовувати дані",Non-fiction,Статистика,Куплено/На хмарі,Прочитано,Електронна,01.01.2021,17.02.2021,,,,
2021,6,Ніколс,Диванні експерти,Non-fiction,Когнітивістика,Куплено/На хмарі,Прочитано,Електронна,,01.03.2021,,Виправити,,
2021,7,HBR,Про прийняття розумних рішень,Non-fiction,Бізнес,Куплено/В бібліотеці,Прочитано,Фізична,,01.03.2021,,Виправити,,
2021,8,Мак-Люен,Галактика Гутенберга,Non-fiction ,Історія,Куплено/В бібліотеці,Прочитано,Фізична,,12.03.2021,,Неповні дані,,
2021,9,Герберт,Дюна,Художня,НФ,Куплено/На хмарі,Прочитано,Електронна,31.01.2021,15.03.2021,Дюна,,,
2021,10,Ніцше,Так мовив Заратустра,Non-fiction,Філософія,На хмарі,Прочитано,Електронна,,19.03.2021,,Неповні дані,,
2021,11,Жаботинський,Здобудеш державу Ізраїль,Художня,Мемуари,Куплено/На хмарі,Прочитано,Електронна,,01.04.2021,,Виправити,,
2021,12,Плачинда,Міфи та легенди давньої України,Non-fiction,Міфологія,Куплено/В бібліотеці,Прочитано,Фізична,,02.04.2021,,Неповні дані,,
2021,13,Кебуладзе,Чарунки долі,Non-fiction,Філософія,Куплено/В бібліотеці,Прочитано,Фізична,17.04.2021,21.04.2021,,,,
2021,14,Канеман,Мислення швидке та повільне,Non-fiction,Когнітивістика,Куплено/На хмарі,Прочитано,Електронна,02.04.2021,28.04.2021,,,,
